zcta,HouseCount,HouseMedianIncome,IncomeUnder25K,IncomeOver100K,JobCount,latitude,longitude
69361,6943,43781,26.1,14.8,2920,41.922838,-103.622904
69365,19,-,0,116.6,18,42.985001,-102.504917
69366,92,46250,20.6,23.8,4,42.182821,-101.585958
69367,104,47500,17.3,34.7,2,42.811821,-103.330405
70001,17732,50155,26.0,18.8,4856,29.983722,-90.167236
70002,8709,54507,20.9,22.4,17520,30.012496,-90.162511
70003,16022,55839,17.5,20.9,2464,30.001164,-90.209724
70005,11519,62012,17.4,22.1,3308,29.999416,-90.134065
70006,5975,62532,21.5,23.8,1434,30.014032,-90.191345
70030,1422,70278,13.0,38.0,68,29.819197,-90.43971
70031,502,72955,13.8,32.8,38,29.943492,-90.295565
70032,1688,44030,28.2,14.8,146,29.958516,-89.997505
70036,482,50833,22.5,11.9,20,29.714032,-90.121496
70037,5993,57607,19.6,27.8,3120,29.771219,-90.075373
70038,109,15750,69.8,37.0,44,29.349224,-89.438812
70039,908,30822,43.0,13.6,174,29.887384,-90.38876
70040,393,37019,43.0,21.3,30,29.740211,-89.922596
70041,1098,40052,34.8,11.4,86,29.375088,-89.58767
70043,7424,43590,31.3,10.1,1864,29.948414,-89.962678
70047,4610,78250,16.8,36.3,888,29.968947,-90.367309
70049,871,45558,30.3,20.0,30,30.030544,-90.571302
70050,42,-,38.1,47.5,28,29.379579,-89.590257
70051,826,45455,29.5,22.2,74,30.085967,-90.647634
70052,1336,49113,22.4,19.7,132,30.055069,-90.695015
70053,6550,39711,34.6,11.7,2124,29.913421,-90.053201
70056,13712,50380,22.5,16.6,1322,29.887441,-90.027304
70057,1619,56625,30.7,17.8,146,29.962198,-90.464199
70058,13521,46001,26.1,16.2,3552,29.868874,-90.064872
70062,6085,39508,35.4,11.3,5166,29.991657,-90.258144
70065,19257,57712,19.1,19.1,3288,30.026672,-90.25345
70067,891,44918,24.0,22.7,84,29.710879,-90.096784
70068,11424,59774,19.8,22.1,2164,30.156347,-90.436783
70070,4585,73207,14.4,35.5,414,29.829842,-90.310627
70071,1457,50817,31.2,21.2,120,30.051615,-90.705906
70072,19641,47204,28.8,16.0,3040,29.835653,-90.110302
70075,1672,70298,15.9,28.9,114,29.933532,-89.92195
70076,55,31450,23.6,41.5,4,30.061668,-90.649614
70079,1227,66763,12.9,22.6,158,30.003414,-90.41021
70080,553,77169,10.3,21.1,58,29.883998,-90.433699
70082,118,-,51.7,43.0,10,29.563715,-89.749596
70083,885,30554,39.9,9.0,64,29.463084,-89.894753
70084,2621,48147,31.1,14.2,258,30.075645,-90.567481
70085,1661,44046,32.5,12.8,86,29.836707,-89.737441
70086,769,30505,43.3,18.9,62,30.036191,-90.86541
70087,2950,45595,24.7,20.1,474,29.976027,-90.315015
70090,2669,47079,25.4,17.9,152,29.969253,-90.701136
70091,121,50804,25.6,9.8,176,29.112162,-89.351354
70092,2346,37355,32.9,14.8,84,29.89894,-89.895262
70094,10999,34199,36.2,9.5,1148,29.915778,-90.207605
70112,1433,50313,35.6,15.0,4266,29.957008,-90.076935
70113,3701,15675,63.8,8.1,9542,29.943018,-90.083073
70114,9820,28442,46.0,10.6,1340,29.937445,-90.032322
70115,15290,59985,21.6,19.4,6036,29.92393,-90.102484
70116,6180,33224,40.9,12.0,822,29.96744,-90.064783
