id,state,county,rate
4415,109,34583,38.6
4416,2415,38125,33.4
4417,124,32955,37.1
4418,675,43021,31.1
4419,1055,62716,19.2
4421,308,55313,32.2
4422,461,50417,19.1
4424,306,32333,38.9
4426,1968,43395,25
4427,990,54000,20.7
4428,1180,56702,19.1
4429,1847,58726,19.2
4430,827,37542,35.6
4431,19,53750,0
4434,432,46528,24.4
4435,432,45789,25.9
4438,439,43438,31.3
4441,870,48426,25.3
4442,7,-,57.1
4443,1020,37500,30.4
4444,3440,76087,10.3
4448,538,39688,30.6
4449,617,51523,17.5
4450,453,61761,23.1
4451,119,30536,36.9
4453,292,39605,31.2
4455,336,42917,28
4456,1091,57326,13.5
4457,2368,39842,29.1
4459,417,32279,40
4460,503,40583,28.3
4461,1193,60075,21.7
4462,2263,33266,33.8
4463,1286,30388,42.1
4464,259,38125,30.9
4468,4010,38077,34.5
4469,0,-,0
4471,296,37167,38.5
4472,932,55815,18.6
4473,3121,44427,34.5
4474,1589,57127,19.7
4475,223,42031,28.8
4476,567,47188,18.1
4478,165,29844,45.5
4479,616,41711,27.6
4481,201,39779,27.4
4485,87,60625,14.9
4487,382,32083,40.1
4488,523,64141,17.5
4489,127,52125,22.1
4490,128,48750,19.5
4491,65,33750,26.2
4492,66,42500,33.4
4493,791,48344,22.7
4495,231,39450,30.7
4496,1652,68571,16.3
4497,162,26429,47.6
4530,5146,47760,26.4
4535,310,65833,17.1
4537,921,62117,13.3
4538,1003,44013,30.9
4539,498,56364,22.7
4543,925,54671,24.9
4544,301,65938,22
4547,415,54948,18.5
4548,435,60417,12.6
4551,346,60556,18.8
4553,786,64216,21.8
4554,415,48194,18.4
4555,760,59348,17.7
4556,527,57798,17.1
4558,93,85536,30.2
4562,1035,72431,13.3
4563,585,54028,17.5
4564,258,63125,22.1
4568,253,42875,30
4570,0,-,0
4571,234,47029,3.4
4572,2235,40045,29.5
4573,246,60833,12.1
4574,587,48355,26.4
4575,34,138333,0
4576,327,50074,20.8
4578,1893,45130,29.2
4579,1285,74148,9.1
4605,5833,52645,23.2
4606,516,37656,29
4607,469,48063,27.4
4609,2329,53053,24.9
4611,182,50192,29
4612,234,60000,16.7
4613,55,72083,27.3
4614,1214,48043,20.7
4616,363,44219,23.1
4617,346,60833,18.5
4619,1378,34845,39.1
4622,587,40156,33
4623,389,45885,24.6
4624,85,50795,27.1
4625,44,43000,9.1
4626,238,49853,24.8
4627,735,46652,28.1
4628,277,44653,34.3
4629,37,-,0
4630,576,40893,24.3
4631,711,29375,42.8
4634,793,40953,28
4635,9,63250,33.3
4637,80,45179,15
4640,980,45473,23
4642,42,86563,23.8
4643,421,37446,21
4644,0,-,0
4645,17,-,11.8
4646,36,56071,25
4648,284,41136,24.3
4649,594,37941,31.3
4650,108,-,0
